// Half-Life Texture Types.  Modify this file only if texture names are changed!
//  'M' metal, 'V' ventilation, 'D' dirt, 'S' slosh liquid
//  'T' tile, 'G' grate, 'W' wood, 'P' computer, 'Y' glass
//  'F' flesh, 'O' snow. (Concrete is the default)
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 2048 textures may be tagged in this file

D soa_snd1
W soa_anotherwd
W soa_wood8
W soa_wood9
W soa_wood18
W soa_wood22
W soa_wood25
W soa_wood27
W soa_door3
M soa_pipe
M soa_barstand1
M soa_barstand2
M soa_brepsi
M soa_dmp1
M soa_dmplid
M soa_drkmtl_brd1
